tag_id,tag_content,word1,word2
10000,위원회,,
10001,시무,,
10002,정권,문재인 정권,
10003,렉,랙,렉데이
10004,스턴,스턴 뜻,sturn
10005,스포츠,네이버 스포츠 생중계,네이버스포츠
10006,지지율,국정지지율,대통령 지지율
10007,대통령,문재인 대통령,문대통령
10008,북한,대한민국,한국
10009,의혹,혐의,조국 의혹
10010,청와대,청와대 위치,청와대 주소
10011,원내대표,나경원,황교안
10012,장관,장관 임명,법무장관
10013,강,성 강 한자,성강
10014,외교부,외교부 해외안전여행,외교부 여권과
10015,기탁,기탁하다,
10016,성금,모금,성씨 금
10017,기부,화재기부,김은숙작가
10018,행정학,행정법,행정학 공부법
10019,시정,시정조치,시정장치
10020,수원시,수원시 인구,수원
10021,답방,,
10022,북미,북미협상,북미실무협상
10023,친서,,
10024,대변인,청와대 대변인,고민정
10025,며,,
10026,통영,통영 가볼만한곳,통영 루지
10027,통영시,통영시 인구,통영
10028,고성,경남 고성,강원도 고성
10029,비행,비행기,비행 이센스
10030,공군,공군 복무기간,공군 지원자격
10031,소령,소령 계급장,소령 월급
10032,사무관,5급 사무관,서기관
10033,기자회견,검찰 기자회견,조국 기자회견 기자
10034,사건,사고,사건사고
10035,지사,도지사,본사
10036,복지,복지란,복 지 한자
10037,경제,한국경제,한국 경제 위기
10038,특감반,,
10039,국회,2019 국정감사 일정,국회의사중계시스템
10040,의장,자동차 의장,의장모듈
10041,심기,심기불편,
10042,개혁,조국 개혁,검찰개혁
10043,비례대표제,연동형 비례대표제,소선거구제
10044,연동,연계,제주 연동
10045,마리,제이블랙,제이블랙 & 마리
10046,라듐,라돈,폴로늄
10047,피에르,,
10048,보이즈,홈랜더,히어로 드라마
10049,예성,슈퍼주니어 예성,이신혜
10050,알,꿩알,알씨
10051,사랑니,사랑니 발치,사랑니 날때 통증
10052,발치,사랑니 발치 시간,사랑니 발치 잇몸
10053,치아,이빨,인플란트
10054,위원장,여상규,여상규 위원장
10055,의원,의원 병원 차이,병원
10056,원외,,
10057,핵무기,전술핵,핵폭탄
10058,태,클태,태풍
10059,외교,외교 뜻,외교부
10060,레오,강형욱 레오,경찰견 레오
10061,유시민,유시민 조국,조국
10062,방송,방송 영어로,
