user,item,rate,id
1,10005,10,881250949
1,10025,1,891717742
1,10006,1,878887116
1,10014,3,880606923
1,10040,1,886397596
1,10241,1,884182806
1,10166,1,881171488
1,10716,3,891628467
1,10748,3,886324817
1,10775,5,883603013
2,10005,6,879372434
2,10137,1,879781125
2,10006,2,876042340
2,10014,4,891035994
2,10051,1,888104457
2,10241,4,879485318
2,10097,1,879270459
2,10716,1,879539794
2,10748,1,874834944
2,10775,2,892079237
3,10998,1,886176814
3,20001,5,892738452
3,20014,4,877881320
3,20021,4,874833878
3,20037,1,887736532
3,20052,6,879196566
3,20083,3,892430094
3,20106,4,883748450
3,20103,2,875747401
3,20176,1,876861185
3,20197,5,877052329
4,10998,1,882075827
4,20001,2,879539727
4,20014,4,880731963
4,20021,2,884238860
4,20205,1,886890835
4,20052,5,878962623
4,20278,3,891295330
4,20106,5,874791932
4,20123,4,891350932
4,20329,2,877888877
4,20197,1,885329322
6,50000,2,884114233
6,50001,1,874791805
6,40136,2,875333916
6,50004,2,884921594
6,50005,2,879741196
6,40125,2,879641194
6,40095,1,886519097
6,20389,1,882823437
6,21629,1,886271884
6,50009,1,876535131
6,20435,1,890618898
6,21161,1,885853415
6,20100,1,888205088
6,10918,1,880037164
6,50003,1,879877127
6,20133,2,880474293
6,50016,1,881107687
6,50017,1,881103977
6,50018,1,881171009
6,22423,1,879667584
6,20669,1,884112673
6,10717,1,882141053
6,10362,1,884920949
6,50028,1,879024232
6,20304,1,892738341
6,50008,1,883326620
6,10029,1,883698581
5,10858,1,891550094
5,11026,1,893277702
5,50002,1,879987440
5,50000,2,890251826
5,50001,1,884923047
5,40136,2,879546723
5,20133,3,887249482
5,50003,3,882823954
5,22423,1,886475558
5,20051,1,888906576
5,20050,1,884364867
5,20052,1,879539643
5,40095,1,878192429
5,20860,1,879540748
5,20435,1,874791025
5,21161,1,874835091
5,20100,1,878183381
5,10918,1,878971773
6,10858,2,881108684
6,11026,2,891903862
6,20756,2,888954412
