127.0.0.1 - - [12/Sep/2019:22:49:05 +0900] "GET / HTTP/1.1" 200 16125
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET / HTTP/1.1" 200 16125
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/css/modern-business.css HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 141793
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/css/ij-css.css HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5290
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70688
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [12/Sep/2019:22:49:06 +0900] "GET /resources/img/user.png HTTP/1.1" 200 512
